,De standaard,De Volkskrant,Het volk,Het volk : dagblad voor de arbeiderspartij,Het vrĳe volk : democratisch-socialistisch dagblad,De Telegraaf
1870-01-01 1879-12-31,84326,0,0,0,0,0
1880-01-01 1889-12-31,99387,0,0,0,0,0
1890-01-01 1899-12-31,55982,0,0,0,0,330315
1900-01-01 1909-12-31,76783,0,0,1483,0,816594
1910-01-01 1919-12-31,116835,492,0,170333,0,1119731
1920-01-01 1929-12-31,377394,185796,0,6962,0,1332357
1930-01-01 1939-12-31,528253,249912,71423,0,0,1459574
1940-01-01 1949-12-31,109586,160380,18835,0,79224,275827
1950-01-01 1959-12-31,0,407172,0,0,414200,561706
1960-01-01 1969-12-31,0,530116,0,0,628251,700121
1970-01-01 1979-12-31,0,479300,0,0,618850,669682
1980-01-01 1989-12-31,0,561717,0,0,705258,758150
1990-01-01 1999-12-31,0,314394,0,0,85701,408800
2000-01-01 2009-12-31,0,0,0,0,0,0
